id,author,description,terjemahan
166,@fatcrruise6508,"ya kan virus emang kaya gitu, berevolusi terus","Yes, the virus is like that, continues to evolve"
167,@user-gm5hg5ri4u,"@@fatcrruise6508 *betul virus berevolusi terus, tapi ada juga virus yang tidak berbahaya tapi di jadikan pandemi di gunakan untuk konspirasi, untuk melemahkan ekonomi negara negara berkembang supaya tunduk kepada mereka yang membuat konspirasi.* Buktinya kemarin yang tidak vaksin covid 19 masih sehat wa Afiat.","@@ fatcrruise6508 * It is true that the virus continues to evolve, but there are also viruses that are not dangerous but made pandemic used for conspiracy, to weaken the economy of developing countries so that they are subject to those who make conspiracy. Afiat."
168,@rhomadonaefendi4639,SUMBER CUAN BARU NIH..😅,New source of cuan..😅
169,@user-to8dn4hb3m,Ayolah PSBB LG . Lockdown LG seluruh dunia,"Come on, PSBB again. Lockdown lg throughout the world"
170,@okadeathroe,Proooot,Proooot
171,@TEMPLUNGKROYAKKROYAK,Pasti mau bisnis vaksin nih 😂😂,Definitely want a vaccine business 😂😂
172,@yogid1854,Hati2 WHO mau bikin pandemi baru. Jangan mau dibodoh2in WHO lagi.,Be careful who wants to make a new pandemic. Don't want to be fooled again.
173,@wozalaka9919,Goblog,Goblog
174,@paul-gilbert,"Isunya, yg covid kemaren itu baru uji coba bro. Ntar bakal dibuat yg lebih parah dari kemaren itu. Benar benar udah gk boleh keluar sama sekali. Yg keluar rumah bakal ditangkap dan langsung di karantina. Siap siap aja gk bisa beli apa-apa keluar rumah..","The issue, the covid yesterday was just a trial bro. Later it will be made worse than yesterday. Really already can't come out at all. Who leave the house will be arrested and directly in the quarantine. Ready just ready to buy anything out of the house .."
175,@paul-gilbert,Hadeeh..,Hadeeh ..
176,@fitrideza1562,Preeetttttt,Preeetttttt
177,@paul-gilbert,Haha. Kalau dulu masih boleh keluar rumah bro. Haha,Ha ha. If in the past I was still allowed to leave the house bro. Ha ha
178,@gogonmenteng324,"garcep lah pemerintah, tutup dulu turis dari sana, jgn kayak covid","Garcep is the government, first closed the tourist from there, don't be like Covid"
179,@mahyudin3368,Mulai lagi dajal bergerak,Starting again by moving Dajal
180,@bayurocky1326,"Kebiasaan menjelang tahun baru pasti ada virus baru,,bener2 konspirasi global","The habit before the new year there must be a new virus ,, really global conspiracy"
181,@williemhendra8672,Emang siapa mau Sakit?.. Semua negara juga Tidak mau.. 😌,Who do you want to get sick? .. All countries don't want to .. 😌
182,@rudyp2255,"Segera hentikan penerbangan dari dan ke negara China,,,,,","Stop flights from and to China ,,,,"
183,@GunturDahlanAsadil,​@@rudyp2255kemana aj lu tong?pneumonia udh ada di indonesia,@@ Rudyp2255Kemana Aj Lu Tong? Pneumonia is already in Indonesia
184,@ArifIkhwan-if4fp,Hentikan masuknya WNA China untuk menempati proyek2 perumahan mewah yang dibangun untuk pembeli dari negara mereka...,Stop the entry of Chinese foreigners to occupy luxury housing projects built for buyers from their country ...
185,@rosandi7934,Rame nih😂,Crowded
186,@priyo55,Mumet wes mumet opo opo serba virus lah 😂,Mumet wes mumet opo opo virus 😂
